model id,score,arch,learning_rate,batch_size
1744568734.0807354,19.863113403320312,mobilenetv2,0.0006875409305151203,32
1744569188.9165504,24.105180740356445,mobilenetv2,0.00011366386021816467,32
1744569603.6144097,19.735118865966797,mobilenetv2,0.000848747188612562,64
1744570047.3371203,24.92378044128418,mobilenetv2,0.00021003690400277087,64
1744570477.4527164,21.6385440826416,mobilenetv2,0.00018563319419837924,16
1744570926.7047217,20.414514541625977,mobilenetv2,0.0005389372182431753,32
1744571341.2417684,19.26774787902832,mobilenetv2,0.0003257775342156766,16
1744571778.807785,18.55148696899414,mobilenetv2,0.0009422826315669756,32
1744572180.7024539,22.96359634399414,mobilenetv2,0.00022593885787305297,64
1744572590.7177842,20.34746742248535,mobilenetv2,0.00014634186508053905,16
1744573022.1955445,17.88639259338379,yolo,0.002413592311985555,16
1744573480.8197696,20.494688034057617,yolo,1.2245937637286573e-05,32
1744573902.5584137,17.84968376159668,yolo,0.0013366869490374295,64
1744574294.6865199,17.55556297302246,yolo,0.002059095681765505,16
1744574759.3731036,17.179468154907227,yolo,0.0017586225237505772,16
1744575218.4424615,18.07927131652832,yolo,0.0001368515728835524,32
1744575625.0224514,19.519210815429688,yolo,0.007064393063370373,16
1744576087.0446835,18.856327056884766,yolo,0.00010401777084874145,64
1744576496.831536,18.014820098876953,yolo,3.720626885090472e-05,32
1744576922.4919732,19.076078414916992,yolo,2.962102598998594e-05,32
